call_duration_sec,caller_risk_score,is_international_origin,time_of_day_hour,script_similarity_max,urgency_phrase_count,caller_complaint_count,callee_age_group,call_count_from_number_24h,spoofing_indicator,is_scam
36,0.26,0,5,0.34,0,1,26-35,16,0.45,0
20,0.23,0,9,0.07,3,0,26-35,15,0.02,0
55,0.59,0,19,0.68,2,0,65+,116,0.47,0
97,0.41,1,13,0.15,1,1,26-35,2,0.17,0
266,0.44,0,19,0.31,0,4,36-45,4,0.23,0
710,0.55,1,13,0.49,5,8,65+,29,0.68,1
1635,0.66,0,13,0.35,10,10,46-55,28,0.63,1
28,0.36,0,0,0.41,0,2,55-65,8,0.15,0
1329,0.28,0,13,0.24,1,1,36-45,6,0.19,0
410,0.51,0,9,0.06,0,1,46-55,31,0.13,0
121,0.04,0,13,0.63,0,3,46-55,274,0.3,0
69,0.36,0,6,0.36,1,2,18-25,14,0.16,0
384,0.16,1,19,0.43,1,1,36-45,10,0.05,0
1039,0.6,0,8,0.91,5,7,46-55,45,0.61,1
76,0.08,1,5,0.09,0,3,18-25,4,0.48,0
1240,0.87,0,7,0.68,1,9,65+,65,0.86,1
236,0.37,0,0,0.26,0,2,18-25,7,0.32,0
109,0.2,1,7,0.49,0,1,46-55,8,0.59,0
30,0.17,0,5,0.23,1,2,36-45,5,0.1,0
35,0.25,0,17,0.37,3,0,18-25,4,0.44,0
967,0.59,0,9,0.72,5,7,55-65,52,0.9,1
322,0.29,0,17,0.41,0,1,36-45,2,0.07,0
25,0.23,0,16,0.64,1,3,18-25,2,0.32,0
183,0.21,0,4,0.61,2,2,36-45,31,0.31,0
36,0.22,0,5,0.28,0,2,46-55,3,0.26,0
452,0.27,0,8,0.36,2,0,65+,2,0.08,0
80,0.2,0,19,0.47,0,0,55-65,3,0.18,0
741,0.69,1,11,0.87,7,8,18-25,6,0.95,1
502,0.48,1,15,0.65,2,6,55-65,60,0.8,1
15,0.18,0,15,0.08,1,1,46-55,3,0.3,0
687,0.59,0,14,0.78,3,5,26-35,195,0.76,1
73,0.34,0,1,0.21,3,1,26-35,1,0.36,0
931,0.72,0,7,0.71,9,7,55-65,31,0.27,1
147,0.27,0,21,0.42,3,1,36-45,25,0.22,0
1089,0.86,0,18,0.5,10,8,65+,6,0.64,1
258,0.86,1,19,0.76,5,7,65+,333,0.35,1
1983,0.14,0,3,0.12,0,11,36-45,69,0.56,1
267,0.55,0,8,0.07,7,8,65+,67,0.58,0
1081,0.46,1,11,0.49,5,10,46-55,73,0.61,1
434,0.75,1,23,0.82,6,10,65+,53,0.84,1
255,0.56,0,12,0.34,0,1,46-55,11,0.22,1
73,0.17,0,0,0.17,0,3,26-35,5,0.08,0
40,0.19,0,8,0.11,0,2,46-55,4,0.52,0
2360,0.83,0,10,0.64,7,10,26-35,261,0.8,1
180,0.12,0,2,0.43,0,1,46-55,2,0.19,0
299,0.18,0,5,0.23,2,0,36-45,3,0.38,0
523,0.71,1,4,0.32,4,8,65+,191,0.58,1
309,0.89,1,10,0.46,7,9,55-65,153,0.91,1
819,0.56,1,7,0.82,3,11,46-55,176,0.72,1
39,0.22,0,11,0.25,1,4,18-25,7,0.25,0
62,0.18,0,6,0.41,0,0,26-35,2,0.28,0
167,0.11,0,0,0.01,0,0,26-35,2,0.46,0
50,0.37,0,16,0.06,0,0,65+,1,0.22,0
786,0.56,1,5,0.41,7,5,55-65,9,0.6,1
32,0.39,0,2,0.47,1,3,26-35,4,0.19,0
32,0.18,0,1,0.09,2,0,36-45,1,0.45,0
215,0.59,0,13,0.61,8,9,55-65,36,0.79,1
870,0.36,1,9,0.54,6,9,65+,163,0.73,1
40,0.15,0,8,0.26,1,0,26-35,3,0.08,0
62,0.18,0,7,0.34,0,0,18-25,9,0.51,0
159,0.44,1,9,0.39,8,6,36-45,67,0.77,1
207,0.41,0,1,0.2,2,0,46-55,8,0.37,0
170,0.18,1,4,0.09,2,1,18-25,16,0.28,0
130,0.35,0,1,0.2,1,2,26-35,1,0.18,0
7,0.33,0,9,0.51,2,4,36-45,5,0.2,0
262,0.37,0,0,0.18,1,0,26-35,2,0.35,0
584,0.91,1,6,0.42,15,6,55-65,121,0.7,1
137,0.5,1,5,0.56,2,2,36-45,3,0.35,0
39,0.09,0,20,0.47,1,2,26-35,10,0.19,1
83,0.12,0,10,0.34,1,0,26-35,1,0.11,0
86,0.29,0,14,0.33,0,1,55-65,2,0.19,0
9,0.37,0,22,0.58,0,1,26-35,2,0.37,0
54,0.16,0,7,0.27,3,1,46-55,6,0.17,0
198,0.13,0,23,0.3,0,1,36-45,2,0.39,0
45,0.24,0,9,0.02,3,0,26-35,16,0.25,0
483,0.16,0,14,0.52,3,2,65+,10,0.36,0
157,0.5,1,23,0.47,2,0,65+,7,0.39,0
187,0.44,0,9,0.34,0,3,18-25,1,0.12,0
75,0.25,0,13,0.58,2,0,55-65,10,0.44,0
146,0.83,0,13,0.7,2,2,26-35,23,0.61,1
215,0.44,0,16,0.18,1,0,55-65,2,0.33,0
152,0.56,1,21,0.59,5,13,18-25,36,0.27,1
3065,0.65,0,8,0.27,5,13,55-65,186,0.62,1
873,0.61,1,0,0.53,5,8,65+,15,0.3,1
57,0.45,0,11,0.03,1,0,36-45,2,0.41,0
43,0.29,0,13,0.26,1,2,46-55,27,0.25,0
2738,0.77,0,7,0.41,3,9,18-25,256,0.35,1
41,0.32,1,19,0.37,0,1,26-35,2,0.15,0
17,0.22,0,13,0.43,0,0,26-35,12,0.24,0
121,0.49,0,12,0.13,0,5,46-55,1,0.33,0
117,0.09,0,8,0.24,1,0,18-25,7,0.04,0
684,0.48,0,10,0.27,1,3,46-55,12,0.26,0
564,0.18,0,21,0.33,2,1,46-55,3,0.31,0
860,0.28,0,8,0.43,2,1,55-65,4,0.16,0
1442,0.77,0,9,0.55,8,10,36-45,1,0.56,0
42,0.25,0,13,0.17,0,0,36-45,3,0.09,0
289,0.23,1,9,0.42,0,1,36-45,6,0.26,0
104,0.19,0,9,0.22,1,1,36-45,4,0.33,0
463,0.13,1,0,0.21,2,3,46-55,9,0.38,0
446,0.55,1,22,0.25,6,11,36-45,9,0.63,0
33,0.09,1,7,0.3,2,0,18-25,7,0.04,0
32,0.36,0,10,0.27,2,0,46-55,2,0.45,0
25,0.23,0,19,0.11,0,1,36-45,11,0.02,0
208,0.44,0,9,0.55,3,7,55-65,76,0.78,1
609,0.94,0,10,0.82,6,1,55-65,69,0.74,1
98,0.78,1,12,0.34,5,10,55-65,17,0.58,1
81,0.15,0,5,0.34,0,2,36-45,3,0.2,0
148,0.24,0,3,0.24,1,3,26-35,9,0.13,0
199,0.12,0,5,0.56,0,1,26-35,1,0.41,0
128,0.34,0,2,0.08,2,1,55-65,3,0.32,0
29,0.31,0,12,0.14,2,1,26-35,22,0.17,0
482,0.66,0,17,0.13,1,2,65+,4,0.49,0
63,0.32,0,4,0.49,2,0,46-55,22,0.17,0
456,0.63,1,5,0.52,7,7,26-35,41,0.67,1
2146,0.65,0,12,0.58,3,13,55-65,98,0.49,1
1954,0.11,0,13,0.08,0,0,36-45,6,0.43,0
49,0.21,0,23,0.36,0,1,55-65,4,0.21,0
103,0.05,0,18,0.41,1,0,26-35,8,0.44,0
3607,0.31,0,13,0.08,1,0,26-35,4,0.17,0
743,0.76,1,23,0.67,5,6,55-65,52,0.41,1
152,0.45,0,4,0.34,2,1,18-25,11,0.28,0
197,0.73,0,21,0.42,4,11,55-65,29,0.69,1
39,0.22,0,1,0.15,0,1,26-35,5,0.27,0
1306,0.85,0,21,0.43,7,8,65+,42,0.66,1
50,0.07,0,7,0.24,0,0,18-25,32,0.24,0
659,0.71,0,18,0.46,8,8,55-65,148,0.9,0
21,0.5,1,14,0.19,0,12,46-55,1,0.74,0
1262,0.82,1,22,0.44,1,7,36-45,24,0.36,0
578,0.62,1,10,0.65,5,6,65+,47,0.35,1
179,0.17,1,16,0.3,0,0,46-55,41,0.4,0
82,0.23,0,0,0.17,0,0,36-45,4,0.5,0
302,0.89,0,12,0.53,14,6,65+,76,0.73,1
372,0.18,0,4,0.2,0,0,46-55,3,0.21,0
23,0.2,0,12,0.18,2,1,46-55,3,0.34,0
251,0.59,0,8,0.72,7,4,26-35,94,0.75,1
38,0.36,0,4,0.39,1,0,26-35,25,0.18,0
706,0.62,0,6,0.48,5,3,18-25,127,0.89,1
70,0.23,0,12,0.38,0,2,36-45,8,0.49,0
211,0.06,0,15,0.17,3,2,55-65,2,0.19,0
81,0.93,0,3,0.16,7,3,55-65,32,0.32,0
39,0.25,1,9,0.33,2,1,46-55,6,0.67,0
53,0.3,0,10,0.39,0,0,46-55,1,0.41,0
62,0.15,0,15,0.19,1,0,46-55,3,0.55,0
1260,0.73,0,10,0.24,7,9,36-45,49,0.7,1
75,0.47,0,3,0.03,2,0,55-65,8,0.62,0
190,0.27,0,17,0.16,1,1,55-65,1,0.11,0
43,0.53,0,14,0.12,8,2,26-35,88,0.32,0
32,0.17,0,19,0.36,0,3,65+,9,0.15,0
48,0.23,1,13,0.56,0,1,36-45,5,0.28,0
920,0.49,1,11,0.66,9,7,36-45,46,0.46,1
291,0.69,1,2,0.58,5,3,46-55,280,0.67,1
319,0.49,0,13,0.12,3,0,65+,1,0.33,0
118,0.3,0,13,0.68,0,1,55-65,11,0.24,0
984,0.46,1,0,0.58,5,7,36-45,212,0.8,1
21,0.21,0,13,0.43,1,1,36-45,8,0.24,0
39,0.42,1,7,0.45,1,3,26-35,7,0.54,0
136,0.18,0,9,0.22,3,1,18-25,2,0.28,0
493,0.35,0,10,0.04,0,1,46-55,2,0.62,0
220,0.16,0,13,0.14,0,2,18-25,2,0.31,0
311,0.06,0,20,0.49,1,1,36-45,19,0.71,0
898,0.18,0,12,0.06,1,2,46-55,1,0.52,0
37,0.37,0,17,0.07,1,0,26-35,3,0.35,0
275,0.11,0,11,0.23,1,0,26-35,5,0.37,0
599,0.58,0,1,0.61,7,11,55-65,184,0.55,1
379,0.52,0,7,0.71,0,6,55-65,4,0.72,0
70,0.4,0,3,0.1,1,0,26-35,2,0.36,0
396,0.49,0,23,0.24,0,1,46-55,1,0.32,0
181,0.07,0,15,0.48,2,1,18-25,1,0.24,0
437,0.17,0,2,0.18,1,1,55-65,1,0.25,0
55,0.67,0,0,0.13,6,3,36-45,113,0.67,1
869,0.12,0,7,0.05,1,0,46-55,4,0.42,0
44,0.26,0,16,0.11,0,1,18-25,26,0.29,0
549,0.42,0,10,0.84,6,5,26-35,92,0.55,1
57,0.27,0,16,0.33,1,2,65+,2,0.41,0
102,0.07,0,1,0.26,0,2,18-25,3,0.14,0
383,0.2,1,12,0.19,0,0,26-35,3,0.6,0
91,0.48,0,23,0.43,0,0,46-55,2,0.15,0
43,0.27,0,14,0.15,0,2,26-35,2,0.14,0
42,0.15,0,4,0.16,0,0,26-35,38,0.39,0
35,0.05,1,9,0.26,7,8,26-35,23,0.3,1
8,0.37,0,4,0.4,0,2,26-35,2,0.16,0
152,0.18,0,11,0.47,1,4,36-45,5,0.22,0
351,0.31,1,20,0.59,1,1,36-45,8,0.1,0
695,0.43,0,22,0.51,0,2,18-25,1,0.41,0
306,0.69,1,11,0.69,8,9,46-55,72,0.83,1
732,0.64,0,7,0.76,4,9,65+,14,0.48,1
278,0.3,0,16,0.16,0,0,65+,15,0.23,0
154,0.11,0,12,0.0,2,1,46-55,7,0.26,0
263,0.53,1,10,0.83,6,12,26-35,29,0.31,1
26,0.3,0,6,0.24,0,1,55-65,8,0.25,0
99,0.34,0,11,0.08,2,1,46-55,1,0.29,0
47,0.88,0,6,0.74,2,8,26-35,93,0.64,1
506,0.27,0,18,0.51,1,3,36-45,5,0.24,0
97,0.07,0,13,0.39,2,1,55-65,1,0.12,0
34,0.17,0,17,0.31,1,0,18-25,1,0.4,0
28,0.2,0,7,0.5,1,0,55-65,16,0.35,0
893,0.22,0,21,0.61,0,1,46-55,4,0.13,0
102,0.29,0,8,0.5,1,2,46-55,4,0.29,0
39,0.23,0,0,0.15,0,1,36-45,15,0.23,0
171,0.02,0,20,0.3,2,1,26-35,17,0.56,0
37,0.33,0,8,0.39,1,1,46-55,1,0.07,0
79,0.07,0,15,0.12,1,2,46-55,6,0.22,0
63,0.1,1,11,0.24,1,2,65+,5,0.15,0
477,0.66,0,15,0.46,10,10,46-55,20,0.54,1
99,0.08,1,21,0.42,0,3,18-25,6,0.59,0
105,0.35,0,4,0.19,3,1,18-25,2,0.26,0
179,0.54,0,5,0.42,0,1,55-65,29,0.59,0
33,0.09,0,12,0.37,1,1,46-55,34,0.16,0
7,0.16,0,4,0.18,3,3,18-25,11,0.28,0
47,0.1,0,3,0.31,2,1,36-45,1,0.15,0
274,0.18,0,22,0.17,0,1,55-65,12,0.2,0
1095,0.74,0,13,0.47,6,10,65+,8,0.4,1
582,0.55,0,10,0.26,6,4,65+,1,0.15,0
135,0.1,0,6,0.24,0,1,55-65,7,0.35,0
1451,0.86,1,7,0.92,4,8,65+,60,0.8,1
29,0.1,0,23,0.1,1,2,26-35,1,0.22,0
48,0.26,0,4,0.25,2,1,26-35,25,0.3,0
90,0.93,0,21,0.84,12,13,26-35,35,0.5,1
122,0.83,1,12,0.51,4,8,65+,24,0.34,0
523,0.64,1,14,0.94,5,6,46-55,156,0.58,1
20,0.02,0,16,0.71,1,0,18-25,227,0.46,0
95,0.44,0,6,0.04,1,2,55-65,1,0.04,0
17,0.24,0,20,0.5,1,1,46-55,18,0.08,0
60,0.2,0,22,0.22,0,3,18-25,11,0.16,0
63,0.4,0,14,0.12,2,2,18-25,2,0.2,0
265,0.3,0,3,0.57,0,2,55-65,4,0.16,0
91,0.5,0,16,0.53,2,0,18-25,3,0.05,0
2722,0.49,0,1,0.5,10,14,26-35,37,0.67,1
48,0.25,0,4,0.19,1,1,18-25,4,0.05,0
77,0.03,0,13,0.34,2,3,26-35,11,0.25,0
629,0.79,0,21,0.32,6,9,55-65,63,0.62,1
919,0.71,1,19,0.45,7,9,46-55,107,0.61,1
1173,0.66,0,11,0.62,4,13,65+,60,0.66,1
68,0.09,0,9,0.22,1,2,46-55,3,0.21,0
51,0.27,0,15,0.18,0,1,36-45,3,0.46,0
19,0.14,0,1,0.44,1,2,36-45,3,0.14,0
43,0.29,0,17,0.47,1,0,36-45,6,0.17,0
409,0.47,0,8,0.51,5,13,36-45,30,0.41,1
74,0.2,0,14,0.22,0,1,18-25,13,0.27,0
1140,0.56,1,15,0.52,7,5,26-35,60,0.78,1
307,0.69,0,8,0.31,8,5,55-65,75,0.59,1
126,0.27,0,1,0.32,1,1,46-55,13,0.05,0
121,0.25,0,0,0.27,0,0,46-55,1,0.32,0
523,0.68,0,14,0.72,1,7,65+,86,0.28,1
228,0.44,0,7,0.1,1,4,26-35,1,0.08,0
65,0.33,1,10,0.07,1,1,36-45,8,0.31,0
59,0.21,0,8,0.06,2,0,65+,4,0.49,0
213,0.04,0,22,0.51,0,3,46-55,7,0.14,0
2902,0.59,1,12,0.58,5,13,55-65,19,0.88,1
522,0.33,0,12,0.84,12,12,55-65,3,0.44,1
57,0.16,0,6,0.13,2,0,46-55,2,0.23,0
53,0.09,1,7,0.13,1,1,55-65,19,0.03,0
68,0.22,0,6,0.18,0,2,46-55,25,0.06,0
32,0.28,0,18,0.24,0,2,36-45,7,0.45,0
530,0.23,0,6,0.22,1,0,18-25,3,0.4,0
558,0.03,0,2,0.19,1,1,26-35,1,0.24,0
119,0.14,0,4,0.25,2,0,65+,1,0.39,0
86,0.13,0,10,0.26,0,1,36-45,1,0.29,0
84,0.2,0,23,0.29,1,2,18-25,3,0.57,0
146,0.6,1,14,0.75,7,11,55-65,31,0.81,1
776,0.83,1,12,0.42,7,5,46-55,42,0.59,1
510,0.83,1,11,0.39,8,5,26-35,37,0.3,1
1409,0.55,0,11,0.54,3,10,65+,84,0.69,1
36,0.17,0,11,0.4,0,0,46-55,13,0.49,0
182,0.35,0,4,0.17,0,2,26-35,3,0.04,0
467,0.14,1,11,0.44,0,2,65+,67,0.11,1
20,0.3,0,9,0.4,2,1,65+,4,0.1,0
86,0.31,0,2,0.1,0,0,26-35,3,0.14,0
21,0.17,0,14,0.52,0,0,55-65,5,0.15,1
141,0.23,0,14,0.33,3,1,65+,9,0.12,0
78,0.28,0,8,0.3,1,0,26-35,1,0.29,0
182,0.07,0,3,0.14,2,2,65+,3,0.07,0
90,0.47,1,8,0.6,6,7,55-65,68,0.75,1
39,0.03,0,10,0.52,1,2,26-35,3,0.23,0
667,0.88,0,11,0.52,4,8,46-55,78,0.41,1
91,0.74,1,10,0.45,7,2,26-35,57,0.5,1
570,0.66,0,6,0.46,5,11,65+,20,0.88,1
38,0.32,0,4,0.56,0,2,46-55,2,0.46,0
19,0.49,0,12,0.66,1,1,55-65,7,0.09,0
1320,0.55,1,13,0.66,5,6,36-45,30,0.46,1
667,0.81,0,0,0.14,3,9,26-35,184,0.34,1
405,0.15,0,6,0.06,0,1,26-35,5,0.23,0
775,0.63,0,12,0.78,5,10,26-35,38,0.5,1
209,0.48,0,20,0.5,4,9,46-55,40,0.84,1
1022,0.71,0,6,0.41,4,10,18-25,42,0.77,1
152,0.17,0,12,0.21,1,1,46-55,2,0.18,0
58,0.27,0,23,0.1,0,1,26-35,1,0.38,0
722,0.47,1,1,0.6,7,10,26-35,43,0.9,1
7,0.09,1,8,0.31,0,2,36-45,26,0.1,0
89,0.21,1,14,0.29,2,1,36-45,2,0.44,0
510,0.34,0,4,0.17,1,1,26-35,6,0.14,0
36,0.53,0,23,0.11,0,0,55-65,2,0.2,0
19,0.24,0,22,0.48,1,3,36-45,2,0.72,0
34,0.21,0,2,0.42,1,1,36-45,5,0.35,0
337,0.94,0,14,0.46,2,0,55-65,2,0.1,0
1140,0.73,0,23,0.77,5,9,55-65,40,0.82,1
42,0.23,0,3,0.32,0,1,65+,11,0.4,0
51,0.64,0,11,0.21,0,2,36-45,9,0.38,0
58,0.34,0,12,0.01,2,0,18-25,4,0.08,0
38,0.3,0,3,0.05,2,1,18-25,1,0.32,0
874,0.73,1,9,0.82,7,18,55-65,34,0.77,1
174,0.18,0,8,0.14,1,1,55-65,14,0.12,0
52,0.15,0,9,0.44,0,3,18-25,10,0.2,0
87,0.25,0,7,0.54,1,1,36-45,10,0.17,0
137,0.19,0,11,0.41,1,1,36-45,3,0.28,0
184,0.16,0,8,0.51,2,0,18-25,28,0.09,0
97,0.36,0,15,0.28,0,2,65+,25,0.7,0
14,0.16,0,14,0.14,0,1,36-45,2,0.28,0
90,0.3,0,18,0.41,7,7,55-65,6,0.37,0
289,0.61,1,6,0.87,9,4,55-65,5,0.64,1
172,0.21,0,2,0.25,1,0,36-45,4,0.17,0
535,0.16,1,10,0.71,0,10,55-65,4,0.6,0
33,0.39,0,20,0.27,0,1,18-25,1,0.12,0
47,0.16,0,17,0.37,2,2,36-45,4,0.24,0
214,0.26,0,18,0.59,1,0,26-35,3,0.22,0
163,0.52,1,7,0.76,9,11,55-65,155,0.62,1
44,0.27,0,22,0.27,2,2,46-55,1,0.29,0
944,0.07,0,5,0.22,1,3,36-45,6,0.19,0
104,0.22,0,22,0.09,0,0,26-35,12,0.51,0
38,0.33,0,14,0.21,1,1,18-25,5,0.04,0
360,0.29,0,13,0.61,5,1,36-45,2,0.4,0
6,0.04,0,10,0.35,1,0,26-35,6,0.17,0
369,0.93,1,13,0.45,9,10,65+,256,0.51,1
78,0.27,0,19,0.24,2,1,26-35,2,0.16,0
159,0.31,0,7,0.42,1,0,18-25,2,0.19,0
282,0.54,0,10,0.82,4,10,65+,68,0.67,1
1067,0.7,1,9,0.8,6,8,26-35,26,0.56,1
258,0.65,1,8,0.69,10,4,65+,112,0.4,1
19,0.23,0,13,0.34,0,2,55-65,12,0.14,0
57,0.19,0,7,0.12,0,1,18-25,5,0.56,0
16,0.32,0,0,0.39,0,0,26-35,4,0.5,0
39,0.36,1,20,0.19,0,0,46-55,5,0.08,0
65,0.27,1,11,0.53,0,2,55-65,6,0.3,0
68,0.29,0,17,0.3,2,3,55-65,9,0.49,0
389,0.73,1,9,0.66,4,9,55-65,14,0.75,1
340,0.43,1,17,0.33,4,1,55-65,48,0.83,0
36,0.26,0,21,0.42,0,2,46-55,7,0.23,0
435,0.78,1,7,0.63,8,7,26-35,22,0.5,1
65,0.28,0,20,0.52,0,2,65+,3,0.34,0
120,0.94,1,10,0.77,5,9,65+,68,0.46,1
1838,0.95,1,0,0.56,5,4,65+,14,0.73,1
331,0.35,0,22,0.2,1,1,26-35,1,0.21,0
79,0.4,0,12,0.42,2,0,36-45,12,0.2,0
35,0.21,0,22,0.67,2,0,18-25,4,0.34,0
429,0.48,0,21,0.6,7,12,26-35,185,0.27,1
1195,0.65,0,17,0.53,4,5,55-65,53,0.71,1
296,0.86,0,10,0.44,4,12,46-55,83,0.83,1
19,0.16,0,7,0.08,2,1,65+,1,0.04,0
157,0.08,0,17,0.08,1,0,18-25,9,0.03,0
56,0.27,0,14,0.48,0,3,36-45,6,0.41,0
203,0.23,0,20,0.06,1,1,55-65,9,0.07,0
489,0.27,0,17,0.42,0,1,46-55,5,0.15,0
1088,0.59,0,12,0.66,10,7,65+,178,0.83,0
355,0.66,1,19,0.62,6,14,26-35,126,0.6,1
66,0.06,0,22,0.36,0,2,46-55,7,0.08,0
2398,0.37,0,4,0.8,4,11,55-65,81,0.62,1
2059,0.68,1,15,0.64,7,6,46-55,26,0.85,1
35,0.37,0,0,0.12,2,1,26-35,31,0.33,0
233,0.7,0,0,0.48,0,0,18-25,4,0.17,0
575,0.81,1,9,0.65,6,9,55-65,33,0.68,1
71,0.36,0,16,0.28,1,4,55-65,4,0.45,0
269,0.49,0,23,0.3,2,0,36-45,2,0.02,0
119,0.07,0,3,0.38,1,1,46-55,2,0.53,0
445,0.38,0,7,0.48,6,5,55-65,62,0.66,1
379,0.86,1,14,0.37,5,9,65+,58,0.6,1
276,0.2,0,8,0.46,3,4,26-35,3,0.35,0
184,0.17,0,16,0.14,2,3,26-35,2,0.37,0
5,0.23,0,15,0.32,1,0,26-35,1,0.27,0
62,0.42,0,8,0.24,1,0,18-25,12,0.18,0
162,0.42,1,11,0.17,1,6,26-35,25,0.3,1
65,0.66,0,13,0.34,2,2,55-65,13,0.21,0
18,0.04,0,12,0.44,1,0,26-35,1,0.31,0
130,0.5,0,16,0.12,0,2,46-55,6,0.15,0
816,0.54,1,12,0.8,9,11,46-55,46,0.69,1
353,0.7,0,9,0.84,1,6,46-55,93,0.52,1
23,0.11,0,5,0.05,0,1,46-55,3,0.23,0
161,0.19,0,8,0.63,0,13,55-65,18,0.61,1
120,0.31,0,13,0.15,0,1,18-25,5,0.45,0
341,0.72,1,4,0.72,6,11,55-65,16,0.55,1
878,0.09,0,19,0.11,0,0,65+,52,0.15,0
830,0.56,0,9,0.22,5,9,36-45,123,0.81,1
2224,0.85,1,8,0.62,7,6,18-25,48,0.38,1
1930,0.75,0,8,0.79,4,9,65+,22,0.75,1
287,0.14,0,4,0.05,2,1,36-45,3,0.26,0
831,0.45,0,11,0.07,3,0,18-25,7,0.2,0
199,0.28,1,3,0.25,0,0,36-45,10,0.3,0
49,0.26,0,13,0.4,1,1,18-25,2,0.59,1
1218,0.55,1,11,0.83,7,4,36-45,52,0.51,1
1314,0.6,1,9,0.69,6,7,36-45,11,0.9,1
50,0.14,0,3,0.37,0,2,26-35,5,0.31,0
977,0.32,0,1,0.19,1,1,26-35,38,0.41,0
1260,0.57,0,11,0.71,4,7,55-65,26,0.54,1
69,0.48,0,15,0.33,0,1,55-65,6,0.81,0
123,0.04,0,16,0.28,0,1,18-25,3,0.26,0
96,0.54,0,13,0.49,0,2,46-55,1,0.09,0
177,0.58,0,10,0.18,0,1,46-55,4,0.12,0
88,0.31,0,19,0.42,0,0,46-55,1,0.1,0
55,0.32,0,19,0.24,0,2,36-45,1,0.37,0
268,0.35,0,23,0.18,1,1,18-25,1,0.16,0
91,0.78,1,9,0.47,4,5,55-65,13,0.87,1
108,0.12,0,8,0.36,1,1,36-45,14,0.47,0
572,0.64,1,12,0.68,6,8,65+,55,0.71,1
737,0.84,0,4,0.72,4,6,55-65,47,0.88,1
370,0.42,1,20,0.78,2,7,36-45,5,0.84,1
106,0.29,0,8,0.33,2,0,36-45,5,0.51,0
1920,0.91,0,9,0.62,7,5,26-35,101,0.32,1
929,0.23,1,11,0.4,0,3,46-55,18,0.3,0
40,0.13,0,15,0.1,2,2,65+,8,0.45,0
16,0.39,0,7,0.27,0,1,36-45,7,0.46,0
137,0.18,0,19,0.16,3,1,55-65,5,0.08,0
362,0.6,0,6,0.65,6,13,65+,306,0.7,1
33,0.12,0,14,0.54,0,1,55-65,20,0.35,0
48,0.12,0,17,0.2,1,1,36-45,2,0.39,0
1013,0.05,1,14,0.3,8,6,46-55,30,0.86,1
1835,0.89,1,9,0.73,6,9,65+,148,0.5,1
255,0.23,0,16,0.19,2,1,46-55,1,0.1,0
90,0.58,1,2,0.4,8,15,26-35,68,0.77,1
68,0.72,0,14,0.87,4,4,36-45,64,0.52,1
31,0.38,0,3,0.16,0,0,46-55,3,0.38,0
30,0.19,0,12,0.47,1,0,65+,3,0.08,0
101,0.16,0,3,0.46,0,1,46-55,31,0.18,0
304,0.59,1,1,0.8,4,8,36-45,105,0.5,1
281,0.18,0,9,0.24,1,0,26-35,1,0.26,0
1529,0.59,0,12,0.52,1,6,46-55,10,0.82,1
46,0.27,0,8,0.54,0,0,26-35,8,0.09,0
2856,0.78,0,14,0.92,8,7,55-65,27,0.49,1
